year,value
1970,0.06
1971,-0.09
1972,0.11
1973,0.14
1974,-0.02
1975,-0.04
1976,-0.01
1977,0.19
1978,0.12
1979,0.24
1980,0.26
1981,0.25
1982,0.22
1983,0.30
1984,0.20
1985,0.18
1986,0.21
1987,0.36
1988,0.32
1989,0.27
1990,0.37
1991,0.33
1992,0.23
1993,0.25
1994,0.29
1995,0.35
1996,0.31
1997,0.46
1998,0.52
1999,0.31
2000,0.34
2001,0.46
2002,0.49
2003,0.52
2004,0.49
2005,0.50
2006,0.50
2007,0.43
2008,0.41
2009,0.54
2010,0.56
2011,0.44
2012,0.51
2013,0.54
2014,0.63
2015,0.75
2016,0.80
2017,0.72
2018,0.68
2019,0.77
2020,0.76
2021,0.65
